Title,URL,Registration Year,Make,Model,Trim,KMs Driven,No. of Owners,Transmission,Fuel Type,Body Type,Registration,Location
2015 Volkswagen Polo Comfortline 1.0 Petrol,https://droom.in/product/volkswagen-polo-comfortline-10-petrol-2015-673af51128e85171058b458e,2015,Volkswagen,Polo,COMFORTLINE 1.0 PETOL,78000.0,1.0,Manual,Petrol,Hatchback,HR 26,Gurgaon
2019 Mercedes-Benz CLA 200 CDI Style,https://droom.in/product/mercedes-benz-cla-200-cdi-style-2019-679c648e26d569da058b45a7,2019,Mercedes-Benz,CLA,200 CDI STYLE,49000.0,1.0,Automatic,Diesel,Sedan,DL 7C,Delhi
2016 Hyundai Elite i20 Sportz 1.4 CRDi,https://droom.in/product/hyundai-elite-i20-sportz-14-crdi-2016-6824289dc1106a19058b458f,2016,Hyundai,Elite i20,SPORTZ 1.4 CRDI,57000.0,1.0,Manual,Diesel,Hatchback,DL 1C,Delhi
2015 Hyundai Grand i10 Sportz 1.2 Kappa VTVT,https://droom.in/product/hyundai-grand-i10-sportz-12-kappa-vtvt-2015-6810c5c8d4126ad56a8b45c8,2015,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,46000.0,1.0,Manual,Petrol,Hatchback,DL 8C,Delhi
2016 Hyundai Creta 1.6 S,https://droom.in/product/hyundai-creta-16-s-2016-67f270755a4b5334078b457c,2016,Hyundai,Creta,1.6 S,79000.0,2.0,Manual,Petrol,SUV,GJ 05,Vadodara
2019 Ford EcoSport Titanium+ 1.5L TDCi,https://droom.in/product/ford-ecosport-titanium-15l-tdci-2019-67c062f5e1766ddb058b4573,2019,Ford,EcoSport,TITANIUM+ 1.5L TDCI,54000.0,1.0,Manual,Diesel,SUV,WB 40,Howrah
2018 Hyundai Verna 1.6 CRDI SX,https://droom.in/product/hyundai-verna-16-crdi-sx-2018-67987b4adcc04ecd048b458c,2018,Hyundai,Verna,1.6 CRDI SX,54000.0,1.0,Manual,Diesel,Sedan,DL 4C,Delhi
2015 Honda Amaze 1.5 S i-DTEC,https://droom.in/product/honda-amaze-15-s-i-dtec-2015-686b62d8fd0174be058b4580,2015,Honda,Amaze,1.5 S I-DTEC,50832.0,1.0,Manual,Diesel,Sedan,KL 8B,Thrissur
2012 Mahindra XUV500 W6,https://droom.in/product/mahindra-xuv500-w6-2012-67a07a21676b52555e8b456b,2012,Mahindra,XUV500,W6,65000.0,1.0,Manual,Diesel,SUV,DL 10,Delhi
2017 Tata Tiago Revotron XZ,https://droom.in/product/tata-tiago-revotron-xz-2017-6811ec5987dc73bf058b4569,2017,Tata,Tiago,REVOTRON XZ,67000.0,1.0,Manual,Petrol,Hatchback,HR 26,Delhi
2018 Hyundai Creta 1.4 E+ Diesel,https://droom.in/product/hyundai-creta-14-e-diesel-2018-679b313a605a6cfe058b45d4,2018,Hyundai,Creta,1.4 E+ Diesel,72000.0,2.0,Manual,Diesel,SUV,DL 10,Delhi
2019 Hyundai Verna 1.4 VTVT EX,https://droom.in/product/hyundai-verna-14-vtvt-ex-2019-676f20eb7226729d058b4569,2019,Hyundai,Verna,1.4 VTVT EX,34000.0,1.0,Manual,Petrol,Sedan,DL 6C,Delhi
2024 Honda Elevate ZX CVT,https://droom.in/product/honda-elevate-zx-cvt-2024-68998065f7ae6c18058b4584,2024,Honda,Elevate,ZX CVT,8275.0,1.0,Automatic,Petrol,SUV,KA 05,Bangalore
2018 Jeep Compass 1.4L Limited Black Pack 4x2 Option Pack (AT),https://droom.in/product/jeep-compass-14l-limited-black-pack-4x2-option-pack-at-2018-673af32eb9bf7097208b45da,2018,Jeep,Compass,1.4L LIMITED BLACK PACK 4X2 OPTION PACK (AT),67000.0,1.0,Automatic,Petrol,SUV,HR 26,Gurgaon
2016 Honda City 1.5 V MT SUN ROOF,https://droom.in/product/honda-city-15-v-mt-sun-roof-2016-6953cce4cee16d05058b4597,2016,Honda,City,1.5 V MT SUN ROOF,119427.0,3.0,Manual,Petrol,Sedan,TN 09,Chennai
2022 Kia Seltos HTX Plus 1.5 Diesel,https://droom.in/product/kia-seltos-htx-plus-15-diesel-2022-694b7de279a75344058b4582,2022,Kia,Seltos,HTX PLUS 1.5 DIESEL,42158.0,1.0,Manual,Diesel,SUV,TS 08,Hyderabad
2016 Maruti Suzuki Swift DZire VDi,https://droom.in/product/maruti-suzuki-swift-dzire-vdi-2016-673f2a604de557d0028b459a,2016,Maruti Suzuki,Swift Dzire,VDI,68541.0,1.0,Manual,Diesel,Sedan,DL 2C,Delhi
2013 Maruti Suzuki Ritz VXi,https://droom.in/product/maruti-suzuki-ritz-vxi-2013-673f28e9a33450f31a8b45af,2013,Maruti Suzuki,Ritz,VXI,68208.0,1.0,Manual,Petrol,Hatchback,DL 5C,Delhi
2024 Maruti Suzuki Ertiga TOUR M CNG,https://droom.in/product/maruti-suzuki-ertiga-tour-m-cng-2024-692e9cd1036e6edc058b4593,2024,Maruti Suzuki,Ertiga,TOUR M CNG,61000.0,1.0,Manual,CNG,MUV,UP 32,Lucknow
2012 Hyundai i20 Asta 1.4 CRDi,https://droom.in/product/hyundai-i20-asta-14-crdi-2012-68c815ab7d7473fb048b456c,2012,Hyundai,i20,ASTA 1.4 CRDI,127021.0,2.0,Manual,Diesel,Hatchback,AP 16,Hyderabad
2018 Renault KWID 1.0 RXL,https://droom.in/product/renault-kwid-10-rxl-2018-673f584199926f07068b4573,2018,Renault,KWID,1.0 RXL,52000.0,1.0,Manual,Petrol,Hatchback,DL 7C,Delhi
2009 BMW 7 Series 750Li,https://droom.in/product/bmw-7-series-750li-2009-69244ab84de557e46c8b4588,2009,BMW,7 Series,750LI,60000.0,2.0,Automatic,Petrol,Sedan,HR 26,Dehradun
2014 Toyota Corolla Altis 1.8 G,https://droom.in/product/toyota-corolla-altis-18-g-2014-67c00b974de557036b8b456f,2014,Toyota,Corolla Altis,1.8 G,84000.0,1.0,Manual,Petrol,Sedan,DL 10,delhi
2024 Mercedes-Benz Maybach EQS 680,https://droom.in/product/mercedes-benz-maybach-eqs-680-2024-6836d4756f8f74d3458b4597,2024,Mercedes-Benz,Maybach EQS,680,4000.0,1.0,Automatic,Electric,SUV,UP 16,delhi
2016 Mahindra TUV300 T8,https://droom.in/product/mahindra-tuv300-t8-2016-679d0c4fe5f15161058b4583,2016,Mahindra,TUV300,T8,47000.0,1.0,Manual,Diesel,SUV,HR 26,Delhi
2017 Honda WR-V VX Petrol,https://droom.in/product/honda-wr-v-vx-petrol-2017-68c3cf064de557b90c8b45a6,2017,Honda,WR-V,VX PETROL,80348.0,1.0,Manual,Petrol,Crossover,TN 10,Chennai
2021 Maruti Suzuki XL6 Zeta AT Petrol,https://droom.in/product/maruti-suzuki-xl6-zeta-at-petrol-2021-6826cd3432446b79078b45c2,2021,Maruti Suzuki,XL6,Zeta AT Petrol,22000.0,1.0,Automatic,Petrol,MUV,HR 87,Delhi
2016 Maruti Suzuki Swift DZire LXi,https://droom.in/product/maruti-suzuki-swift-dzire-lxi-2016-679ca4a102e152b6028b4571,2016,Maruti Suzuki,Swift Dzire,LXI,75000.0,1.0,Manual,Petrol,Sedan,HR 42,Gurgaon
2014 Hyundai Xcent S 1.2,https://droom.in/product/hyundai-xcent-s-12-2014-673f2faf1c826e57298b4595,2014,Hyundai,Xcent,S 1.2,73000.0,1.0,Manual,Petrol,Sedan,DL 3C,Delhi
2011 Hyundai i10 Era,https://droom.in/product/hyundai-i10-era-2011-673f27e4d6bd7254058b461e,2011,Hyundai,i10,ERA,68241.0,1.0,Manual,Petrol,Hatchback,DL 8C,Delhi
2018 Honda City VX CVT i-VTEC,https://droom.in/product/honda-city-vx-cvt-i-vtec-2018-68595e07854d4f88628b45a6,2018,Honda,City,VX CVT I-VTEC,68914.0,1.0,Automatic,Petrol,Sedan,MH 01,Mumbai
2024 Kia Seltos HTX 1.5 Diesel AT,https://droom.in/product/kia-seltos-htx-15-diesel-at-2024-673b3f7bbf8a4de8058b457d,2024,Kia,Seltos,HTX 1.5 Diesel AT,11000.0,1.0,Automatic,Diesel,SUV,KA 04,Bangalore
2021 Toyota Glanza V CVT BS6,https://droom.in/product/toyota-glanza-v-cvt-bs6-2021-681b38714de557c86d8b4571,2021,Toyota,Glanza,V CVT,18000.0,1.0,Automatic,Petrol,Hatchback,WB 02,Kolkata
2021 Mahindra Scorpio S5,https://droom.in/product/mahindra-scorpio-s5-2021-6800927a4de557fd018b4594,2021,Mahindra,Scorpio,S5,69000.0,1.0,Manual,Diesel,SUV,UP 78,Delhi
2017 Toyota Innova Crysta 2.4 ZX 7 STR,https://droom.in/product/toyota-innova-crysta-24-zx-7-str-2017-674338c80ad850450b8b4568,2017,Toyota,Innova Crysta,2.4 ZX 7 STR,101000.0,1.0,Manual,Diesel,MUV,DL 5C,Delhi
2013 Hyundai Santro GLS I EURO II,https://droom.in/product/hyundai-santro-gls-i-euro-ii-2013-6812dcbdd6744ed9058b45be,2013,Hyundai,Santro,GLS I EURO II,66000.0,2.0,Manual,Petrol,Hatchback,KA 05,Bangalore
2015 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,https://droom.in/product/hyundai-grand-i10-asta-12-kappa-vtvt-2015-67a2f0f1ae3d73d7108b4591,2015,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,68000.0,1.0,Manual,Petrol,Hatchback,DL 4C,Delhi
2021 Hyundai Creta S 1.5 Petrol BS6,https://droom.in/product/hyundai-creta-s-15-petrol-bs6-2021-673f434d73376b8a058b456b,2021,Hyundai,Creta,S 1.5 Petrol,41000.0,1.0,Manual,Petrol,SUV,DL 1C,Delhi
2021 Mercedes-Benz G-Class G 350d BS6,https://droom.in/product/mercedes-benz-g-class-g-350d-bs6-2021-6836d78b8cef6fdd058b4580,2021,Mercedes-Benz,G-Class,G 350D,47000.0,1.0,Automatic,Diesel,SUV,HP 47,delhi
2019 Maruti Suzuki Dzire VXi,https://droom.in/product/maruti-suzuki-dzire-vxi-2019-6740938790646d01068b4573,2019,Maruti Suzuki,Dzire,VXI,53000.0,1.0,Manual,Petrol,Sedan,DL 5C,Delhi
2020 Tata Harrier Dark Edition,https://droom.in/product/tata-harrier-dark-edition-2020-6738a600c28a7594088b45c5,2020,Tata,Harrier,DARK EDITION,53000.0,1.0,Manual,Diesel,SUV,UP 14,Ghaziabad
2023 Hyundai Creta E 1.5 Petrol,https://droom.in/product/hyundai-creta-e-15-petrol-2023-68bef943800269b9058b4579,2023,Hyundai,Creta,E 1.5 Petrol,28000.0,1.0,Manual,Petrol,SUV,MH 10,Mumbai
2017 Maruti Suzuki Eeco 5 STR AC,https://droom.in/product/maruti-suzuki-eeco-5-str-ac-2017-6798bc1c769a6f0e058b457b,2017,Maruti Suzuki,Eeco,5 STR AC,98765.0,6.0,Manual,Petrol,Van,DL 05,Delhi
2017 Hyundai Creta 1.6 SX AT Diesel,https://droom.in/product/hyundai-creta-16-sx-at-diesel-2017-6825e04c8b807107568b45ee,2017,Hyundai,Creta,1.6 SX AT Diesel,69000.0,1.0,Automatic,Diesel,SUV,MH 04,Thane
2020 Tata Nexon XMA (S) Diesel,https://droom.in/product/tata-nexon-xma-s-diesel-2020-681efb2a4de557de4d8b4590,2020,Tata,Nexon,XMA (S) DIESEL,94000.0,1.0,Automated Manual Transmission,Diesel,SUV,DL 4C,Delhi
2022 Hyundai Creta S Plus 1.5 Petrol Knight,https://droom.in/product/hyundai-creta-s-plus-15-petrol-knight-2022-6769177161cd4fc0058b4585,2022,Hyundai,Creta,S Plus 1.5 Petrol Knight,45000.0,1.0,Manual,Petrol,SUV,HR 51,Faridabad
2017 Maruti Suzuki Vitara Brezza ZDi Plus,https://droom.in/product/maruti-suzuki-vitara-brezza-zdi-plus-2017-674332b80ad850b1058b45f1,2017,Maruti Suzuki,Vitara Brezza,ZDI PLUS,82000.0,1.0,Manual,Diesel,SUV,DL 6C,Delhi
2016 Volkswagen Polo 1.2 TDI Highline,https://droom.in/product/volkswagen-polo-12-tdi-highline-2016-679b34fa605a6cd4058b45d4,2016,Volkswagen,Polo,1.2 TDI HIGHLINE,55000.0,1.0,Manual,Diesel,Hatchback,DL 9C,Delhi
2018 Maruti Suzuki S-Cross Zeta 1.3,https://droom.in/product/maruti-suzuki-s-cross-zeta-13-2018-689980794de55769198b4593,2018,Maruti Suzuki,S-Cross,ZETA 1.3,69250.0,1.0,Manual,Diesel,SUV,UP 78,Kanpur
2018 Maruti Suzuki Vitara Brezza VDi,https://droom.in/product/maruti-suzuki-vitara-brezza-vdi-2018-6811f91bbc8f4d3c1b8b45af,2018,Maruti Suzuki,Vitara Brezza,VDI,76000.0,1.0,Manual,Diesel,SUV,DL 8C,Delhi
2019 Maruti Suzuki Baleno Alpha 1.2,https://droom.in/product/maruti-suzuki-baleno-alpha-12-2019-6955023441ab4faa058b45c7,2019,Maruti Suzuki,Baleno,ALPHA 1.2,74152.0,1.0,Manual,Petrol,Hatchback,TN 07,Chennai
2016 Hyundai Creta 1.6 S,https://droom.in/product/hyundai-creta-16-s-2016-6825a75a8b807128568b45bb,2016,Hyundai,Creta,1.6 S,46000.0,1.0,Manual,Petrol,SUV,DL 2C,Delhi
2021 Hyundai Venue SX 1.0 Turbo BS6,https://droom.in/product/hyundai-venue-sx-10-turbo-bs6-2021-682dac8b9b6375605c8b4574,2021,Hyundai,Venue,SX 1.0 TURBO,37000.0,1.0,Manual,Petrol,SUV,DL 4C,Delhi
2015 Honda City SV CVT i-VTEC,https://droom.in/product/honda-city-sv-cvt-i-vtec-2015-6738afcdb9bf70df048b456b,2015,Honda,City,SV CVT I-VTEC,90000.0,2.0,Automatic,Petrol,Sedan,DL 9C,Gurgaon
2015 Hyundai Creta 1.6 SX+ AT Diesel,https://droom.in/product/hyundai-creta-16-sx-at-diesel-2015-673f450a73376baa058b4573,2015,Hyundai,Creta,1.6 SX+ AT Diesel,75000.0,1.0,Automatic,Diesel,SUV,DL 1C,Delhi
2022 Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT CNG,https://droom.in/product/hyundai-grand-i10-nios-sportz-12-kappa-vtvt-cng-2022-67ff872ae569731f348b4577,2022,Hyundai,Grand i10 Nios,SPORTZ 1.2 KAPPA VTVT CNG,31500.0,1.0,Manual,Petrol + CNG,Hatchback,DL 5C,Delhi
2011 Hyundai i10 Magna 1.2,https://droom.in/product/hyundai-i10-magna-12-2011-695ba7c6ef767356058b4567,2011,Hyundai,i10,MAGNA 1.2,92300.0,1.0,Manual,Petrol,Hatchback,CH 01,Chandigarh
2024 Honda Amaze 1.2 VX CVT Petrol,https://droom.in/product/honda-amaze-12-vx-cvt-petrol-2024-6954f425956c4ff7048b4570,2024,Honda,Amaze,1.2 VX CVT Petrol,19160.0,1.0,Automatic,Petrol,Sedan,TN 07,Chennai
2018 Honda City 1.5 V MT,https://droom.in/product/honda-city-15-v-mt-2018-680f09a87d0b6945078b45ae,2018,Honda,City,1.5 V MT,69000.0,1.0,Manual,Petrol,Sedan,HR 26,Delhi
2017 Land Rover Discovery Sport HSE,https://droom.in/product/land-rover-discovery-sport-hse-2017-69244761f16a517c058b456a,2017,Land Rover,Discovery Sport,HSE,75000.0,2.0,Automatic,Diesel,SUV,PB 08,Dehradun
2019 Tata Harrier XT,https://droom.in/product/tata-harrier-xt-2019-6825af6a4de5578c548b45e0,2019,Tata,Harrier,XT,58000.0,1.0,Manual,Diesel,SUV,HR 26,Delhi
2016 Hyundai Verna 1.6 CRDI SX,https://droom.in/product/hyundai-verna-16-crdi-sx-2016-6809d1c74de557e47a8b45bf,2016,Hyundai,Verna,1.6 CRDI SX,86000.0,1.0,Manual,Diesel,Sedan,DL 14,Delhi
2018 Honda Jazz 1.2 V i-VTEC,https://droom.in/product/honda-jazz-12-v-i-vtec-2018-6888bee63b2d6e11258b4573,2018,Honda,Jazz,1.2 V I-VTEC,35400.0,2.0,Manual,Petrol,Hatchback,MH 01,Mumbai
2018 Honda Amaze 1.2 VX i-VTEC,https://droom.in/product/honda-amaze-12-vx-i-vtec-2018-6738b63ec28a757f098b45ef,2018,Honda,Amaze,1.2 VX I-VTEC,71000.0,1.0,Manual,Petrol,Sedan,HR 26,Gurgaon
2011 Maruti Suzuki Alto LXi,https://droom.in/product/maruti-suzuki-alto-lxi-2011-679b5f704de55739198b45ef,2011,Maruti Suzuki,Alto,LXI,72000.0,1.0,Manual,Petrol,Hatchback,DL 6C,Delhi
2019 Toyota Fortuner 2.7 4x2 AT,https://droom.in/product/toyota-fortuner-27-4x2-at-2019-6798849fbf2176f0048b4598,2019,Toyota,Fortuner,2.7 4X2 AT,62000.0,1.0,Automatic,Petrol,SUV,UP 16,Delhi
2023 Mini Cooper JCW Hatchback,https://droom.in/product/mini-cooper-jcw-hatchback-2023-673b0c70b9bf705a1c8b4598,2023,MINI,Cooper JCW,HATCHBACK,8000.0,1.0,Automatic,Petrol,Hatchback,HR 98,Delhi
2019 Tata Tiago Revotorq XZ Plus,https://droom.in/product/tata-tiago-revotorq-xz-plus-2019-68554c91cd8b4f1d568b45b5,2019,Tata,Tiago,REVOTORQ XZ PLUS,46000.0,1.0,Manual,Diesel,Hatchback,HR 87,Delhi
2023 Honda Elevate ZX CVT,https://droom.in/product/honda-elevate-zx-cvt-2023-6835c5767f69509c3a8b45f6,2023,Honda,Elevate,ZX CVT,24114.0,1.0,Automatic,Petrol,SUV,GJ 01,Ahmedabad
2017 Ford EcoSport Titanium + 1.5L Ti-VCT,https://droom.in/product/ford-ecosport-titanium-15l-ti-vct-2017-67c0016e220177da058b4569,2017,Ford,EcoSport,TITANIUM + 1.5L TI-VCT,64000.0,1.0,Manual,Petrol,SUV,DL 10,delhi
2022 Mahindra Scorpio N Z8 L Petrol 6 STR,https://droom.in/product/mahindra-scorpio-n-z8-l-petrol-6-str-2022-679dc1354de557e26b8b459a,2022,Mahindra,Scorpio N,Z8 L Petrol 6 STR,35000.0,1.0,Manual,Petrol,SUV,HR 29,Delhi
2016 Ford EcoSport Titanium + 1.5L Ti-VCT AT,https://droom.in/product/ford-ecosport-titanium-15l-ti-vct-at-2016-673b4036bf8a4d00068b4567,2016,Ford,EcoSport,TITANIUM + 1.5L TI-VCT AT,18000.0,1.0,Automatic,Petrol,SUV,KA 01,Bangalore
2019 Maruti Suzuki Vitara Brezza VDi Opt,https://droom.in/product/maruti-suzuki-vitara-brezza-vdi-opt-2019-679a01814de557f56d8b45c6,2019,Maruti Suzuki,Vitara Brezza,VDI OPT,62541.0,1.0,Manual,Diesel,SUV,UP 14,Delhi
2022 Hyundai Verna SX (O) 1.5 VTVT,https://droom.in/product/hyundai-verna-sx-o-15-vtvt-2022-679b29864de557911a8b45c4,2022,Hyundai,Verna,SX (O) 1.5 VTVT,38000.0,1.0,Manual,Petrol,Sedan,DL 4C,Delhi
2015 Hyundai Elantra 1.6 SX AT,https://droom.in/product/hyundai-elantra-16-sx-at-2015-6799baf54de557f06d8b4588,2015,Hyundai,Elantra,1.6 SX AT,72000.0,1.0,Automatic,Diesel,Sedan,DL 8C,Delhi
2020 Hyundai Creta 1.6 SX AT Diesel,https://droom.in/product/hyundai-creta-16-sx-at-diesel-2020-673b4695af0372d8058b4592,2020,Hyundai,Creta,1.6 SX AT Diesel,65000.0,1.0,Automatic,Diesel,SUV,KA 01,Bangalore
2012 Volkswagen Vento 1.6L Highline,https://droom.in/product/volkswagen-vento-16l-highline-2012-6799bdd74de557176e8b4585,2012,Volkswagen,Vento,1.6 HIGHLINE,61000.0,1.0,Manual,Petrol,Sedan,DL 10,Delhi
2018 Honda Jazz V CVT i-VTEC,https://droom.in/product/honda-jazz-v-cvt-i-vtec-2018-691d802f04c072ed048b4567,2018,Honda,Jazz,V CVT I-VTEC,100434.0,1.0,Automatic,Petrol,Hatchback,TN 13,Chennai
2020 Toyota Fortuner 2.7 4x2 AT,https://droom.in/product/toyota-fortuner-27-4x2-at-2020-67d94f09c3d36e8f608b4593,2020,Toyota,Fortuner,2.7 4X2 AT,22000.0,2.0,Automatic,Petrol,SUV,DL 1C,delhi
2021 Kia Seltos Anniversary Edition 1.5,https://droom.in/product/kia-seltos-anniversary-edition-15-2021-6827f2bcae767426058b457b,2021,Kia,Seltos,ANNIVERSARY EDITION 1.5 PETROL,47000.0,1.0,Manual,Petrol,SUV,HR 26,Delhi
2020 Kia Sonet HTX 1.5,https://droom.in/product/kia-sonet-htx-15-2020-6821b99abe2051a6288b458e,2020,Kia,Sonet,HTX 1.5,51000.0,1.0,Manual,Diesel,SUV,HR 10,Delhi
2020 Hyundai Creta SX (O) 1.4 Turbo 7 DCT BS6,https://droom.in/product/hyundai-creta-sx-o-14-turbo-7-dct-bs6-2020-67432995db416bc44d8b45a9,2020,Hyundai,Creta,SX (O) 1.4 Turbo 7 DCT,68000.0,1.0,Automatic,Petrol,SUV,DL 5C,Delhi
2016 Honda City VX,https://droom.in/product/honda-city-vx-2016-67a0bc68676b52095e8b458b,2016,Honda,City,VX,57000.0,1.0,Manual,Petrol,Sedan,DL 3C,Gurgaon
2016 Hyundai Grand i10 Asta 1.2 Kappa VTVT (O),https://droom.in/product/hyundai-grand-i10-asta-12-kappa-vtvt-o-2016-6799cb74c264510e058b45f1,2016,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT (O),53000.0,1.0,Manual,Petrol,Hatchback,DL 10,Delhi
2024 Maruti Suzuki Brezza LXi S CNG,https://droom.in/product/maruti-suzuki-brezza-lxi-s-cng-2024-6821c16dfcea508d058b457d,2024,Maruti Suzuki,Brezza,LXi S-CNG,6000.0,1.0,Manual,CNG,SUV,DL 2C,Delhi
2016 Renault Duster 110 PS RXL 4X2 MT,https://droom.in/product/renault-duster-110-ps-rxl-4x2-mt-2016-673b767aaf037209068b4589,2016,Renault,Duster,110 PS RXL 4X2 DIESEL MT,77000.0,1.0,Manual,Diesel,SUV,HR 51,Delhi
2018 Maruti Suzuki EECO 5 STR With A/C+HTR CNG,https://droom.in/product/maruti-suzuki-eeco-5-str-with-achtr-cng-2018-679b73c7f5e769e6058b460a,2018,Maruti Suzuki,Eeco,5 STR WITH A/C+HTR CNG,53000.0,1.0,Manual,Petrol + CNG,Van,DL 5C,delhi
2021 Tata Altroz XE Petrol,https://droom.in/product/tata-altroz-xe-petrol-2021-688edf0da9026950138b4567,2021,Tata,Altroz,XE PETROL,35000.0,1.0,Manual,Petrol,Hatchback,DL 1C,Delhi
2016 Hyundai Grand i10 Magna 1.2 Kappa VTVT,https://droom.in/product/hyundai-grand-i10-magna-12-kappa-vtvt-2016-685e64ad67785208568b4594,2016,Hyundai,Grand i10,MAGNA 1.2 KAPPA VTVT,33640.0,1.0,Manual,Petrol,Hatchback,MH 02,Mumbai
2023 Nissan Magnite XV Turbo 1.0 MT,https://droom.in/product/nissan-magnite-xv-turbo-10-mt-2023-681c9a99938d4fa7668b4594,2023,Nissan,Magnite,XV TURBO 1.0 MT,17000.0,1.0,Manual,Petrol,SUV,HR 14,Delhi
2020 Toyota Fortuner 2.8 4x4 AT,https://droom.in/product/toyota-fortuner-28-4x4-at-2020-679a4eee605a6cee058b4585,2020,Toyota,Fortuner,2.8 4X4 AT,50000.0,2.0,Automatic,Diesel,SUV,DL 1C,Delhi
2017 Honda Amaze 1.2 S AT i-VTEC,https://droom.in/product/honda-amaze-12-s-at-i-vtec-2017-68a565255edb74b85c8b456a,2017,Honda,Amaze,1.2 S AT I-VTEC,128333.0,1.0,Automatic,Petrol,Sedan,KL 21,Trivandrum
2014 Audi Q3 35 TDI Premium + Sunroof,https://droom.in/product/audi-q3-35-tdi-premium-sunroof-2014-679c918402e1525e028b4567,2014,Audi,Q3,35 TDI PREMIUM + SUNROOF,125000.0,1.0,Automatic,Diesel,SUV,HR 26,Delhi
2011 Hyundai i10 Sportz 1.2 Kappa2,https://droom.in/product/hyundai-i10-sportz-12-kappa2-2011-68bc1d2e5d7174d2058b45b4,2011,Hyundai,i10,SPORTZ 1.2 KAPPA2,63000.0,2.0,Manual,Petrol,Hatchback,MH 43,Mumbai
2020 Hyundai Creta 1.6 SX AT Petrol,https://droom.in/product/hyundai-creta-16-sx-at-petrol-2020-679a604f605a6cd8058b4583,2020,Hyundai,Creta,1.6 SX AT Petrol,55000.0,2.0,Automatic,Petrol,SUV,DL 9C,Delhi
2018 Hyundai i20 Magna 1.2,https://droom.in/product/hyundai-i20-magna-12-2018-6738bc864de5577d608b45d1,2018,Hyundai,i20,MAGNA 1.2,60000.0,1.0,Manual,Petrol,Hatchback,HR 26,Gurgaon
2013 Hyundai i10 Magna 1.2,https://droom.in/product/hyundai-i10-magna-12-2013-6799fceba0246a8f0b8b45b0,2013,Hyundai,i10,MAGNA 1.2,65731.0,1.0,Manual,Petrol,Hatchback,DL 4C,Delhi
2024 MG Astor Savvy Pro 1.5 CVT Ivory,https://droom.in/product/mg-astor-savvy-pro-15-cvt-ivory-2024-6826cb433da853aa058b45cb,2024,MG,Astor,Savvy Pro 1.5 CVT Ivory,9000.0,1.0,Automatic,Petrol,SUV,HR 26,Delhi
2018 Mahindra Scorpio S5 2WD,https://droom.in/product/mahindra-scorpio-s5-2wd-2018-679d01ce7ed66921058b4587,2018,Mahindra,Scorpio,S5 2WD,65000.0,1.0,Manual,Diesel,SUV,DL 12,Delhi
2015 Honda City VX,https://droom.in/product/honda-city-vx-2015-673b6810982375d7058b4586,2015,Honda,City,VX,69000.0,1.0,Manual,Petrol,Sedan,DL 4C,Delhi
2015 Volkswagen Vento 1.5 TDI Comfortline,https://droom.in/product/volkswagen-vento-15-tdi-comfortline-2015-679c7b3626d56903068b45a7,2015,Volkswagen,Vento,1.5 TDI COMFORTLINE,72000.0,1.0,Manual,Diesel,Sedan,DL 10,Gurgaon
2021 BMW X1 sDrive20i xLine BS6,https://droom.in/product/bmw-x1-sdrive20i-xline-bs6-2021-673b11adc28a75b47d8b4591,2021,BMW,X1,SDRIVE20I XLINE BS6,12000.0,1.0,Automatic,Petrol,SUV,HR 51,Delhi
2023 Honda Elevate ZX MT,https://droom.in/product/honda-elevate-zx-mt-2023-685e64c567785260568b4582,2023,Honda,Elevate,ZX MT,19802.0,1.0,Manual,Petrol,SUV,PB 03,Amritsar
2010 Mercedes-Benz S-Class S 500,https://droom.in/product/mercedes-benz-s-class-s-500-2010-67ecf77beb056930058b459f,2010,Mercedes-Benz,S-Class,s 500,24000.0,1.0,Automatic,Petrol,Sedan,WB 06,Chennai
2020 Maruti Suzuki Baleno Delta 1.2,https://droom.in/product/maruti-suzuki-baleno-delta-12-2020-686b54b2fd0174c5058b4571,2020,Maruti Suzuki,Baleno,DELTA 1.2,56874.0,1.0,Manual,Petrol,Hatchback,UP 64,Varanasi
2022 Kia Carens Prestige 1.5 Petrol 7 STR,https://droom.in/product/kia-carens-prestige-15-petrol-7-str-2022-67c0004258c5711f058b4569,2022,Kia,Carens,Prestige 1.5 Petrol 7 STR,18000.0,1.0,Manual,Petrol,MUV,HR 29,delhi
2016 Maruti Suzuki Vitara Brezza ZDi Plus,https://droom.in/product/maruti-suzuki-vitara-brezza-zdi-plus-2016-679c95b702e15235028b456b,2016,Maruti Suzuki,Vitara Brezza,ZDI PLUS,72000.0,1.0,Manual,Diesel,SUV,DL 2C,Delhi
2014 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,https://droom.in/product/hyundai-grand-i10-asta-12-kappa-vtvt-2014-674328460ad850ab058b45e5,2014,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,70000.0,2.0,Manual,Petrol,Hatchback,DL 10,Delhi
2017 Maruti Suzuki Baleno Delta 1.2,https://droom.in/product/maruti-suzuki-baleno-delta-12-2017-68c81c21f33a6c1e058b456e,2017,Maruti Suzuki,Baleno,DELTA 1.2,47585.0,1.0,Manual,Petrol,Hatchback,DL 11,Gurgaon
